start,end,text
726,748," since they're further away. In the case of lithium, the nucleus has a stronger pull on the valence electron because it's so close. So that's one reason why cesium is much more reactive than lithium. Another reason, in fact a more important reason, has to do with the melting points of these two metals."
748,770, Molten lithium is much more reactive than solid lithium because in a molten state there's more surface area for the molecules to react or rather for the atoms to react. Lithium has a much higher melting point than cesium. The melting point for lithium is about a hundred
770,792," 80 degrees Celsius. The melting point facetium is around 29 degrees Celsius. Both of these alkaline metals can react vigorously with water. In fact, they're exothermic. They generate a lot of heat. Lithium, because it has a higher melting point,"
792,814," it's going to take a longer time for it to melt. Cesium is going to enter the molten state a lot faster than lithium because the melting point is so much lower. As a result, when it enters the molten state, it's going to have a greater surface area. So there's going to be more contact between the atoms of cesium"
814,836," and the water molecules. So with that increased surface area, leads to an increased reaction rate, and as the reaction proceeds faster, it's going to generate even more heat, which will further accelerate the rate of reaction, because when the temperature goes up, the rate of the reaction"
836,858, up as well. And so all of these factors will increase the rate at which cesium reacts with water. But primarily it's due to the fact that it has a low molten point and so it can enter the molten state faster and that's why it can react faster. Metals in a molten state will react faster than metals in a solid state.
858,880," The standard reduction potential for lithium, we mentioned it was negative 3.05 volts. For cesium, it's negative 3.02 volts. So even though lithium is a stronger reducing agent than cesium, because cesium is bigger and because it has a little melting point, it turns out that cesium"
880,902," reacts with water a lot faster. But a big reason is due to the fact that it has a low melting point and so it can quickly enter the molten state. Thus increase in the surface area, increase in the rate of the reaction, and as the reaction proceeds faster, more heat is generated, the temperature goes up rapidly, which also"
902,924, accelerates the rate at which the reaction proceeds. So what we need to know is that as you go down the group the melting point decreases and so the reactivity of the alkaline metals will increase. So that's basically it for this video. Hopefully it gave you a good introduction into the process
924,926, of alkaline metals.
